15	3	1501908	0
15	5	2104	0
15	2	590439	0
15	3	1501908	0
15	13	1	0
15	2	164072	0
15	3	1501908	0
15	5	710	0
15	4	3678	0
15	7	992	0
15	9	1	0
15	6	1	0
15	3	682780	0
15	3	144627	0
15	8	1	0
21	7	663	0
21	3	1501908	0
21	6	3634	0
21	4	1	0
21	6	1	0
21	7	14481	0
21	8	343	0
21	2	1156570	0
21	3	1501908	0
21	8	505	0
21	2	498444	0
21	6	525	0
21	4	257465	0
21	3	108364	0
21	7	15578	0
21	3	113370	0
21	6	2388	0
21	3	177710	0
21	4	257465	0
21	3	108364	0
21	8	1	0
12	2	963712	0
12	3	288391	0
12	1	1041179	0
12	9	1	0
12	5	513	0
12	4	719677	0
12	3	1501908	0
12	9	147	0
12	11	272	0
12	2	1156570	0
12	3	1501908	0
12	8	1	0
14	3	1501908	0
14	4	7831	0
14	2	498444	0
14	3	1501908	0
14	4	1472	0
14	2	164072	0
14	3	1501908	0
14	10	2373	0
14	10	5769	0
14	8	3	0
14	6	467	0
14	3	682780	0
14	3	108364	0
14	7	1	0
24	2	963712	0
24	6	5388	0
24	3	197131	0
24	4	719677	0
24	3	1501908	0
24	9	205	0
24	8	14	0
24	5	3187	0
24	5	7313	0
24	8	596	0
24	3	85472	0
24	7	784	0
24	5	185206	0
24	3	1501908	0
24	8	185	0
24	5	73	0
24	12	162	0
24	12	100	0
24	3	108364	0
24	5	2324	0
24	6	141	0
24	2	1156570	0
24	3	108364	0
24	10	1	0
14	2	963712	0
14	3	288391	0
14	1	1041179	0
14	8	1046	0
14	3	3273	0
14	4	719677	0
14	3	1501908	0
14	6	23	0
14	4	1081	0
14	2	1156570	0
14	3	1501908	0
14	3	5784	0
14	3	2990	0
14	6	1	0
22	2	963712	0
22	6	5388	0
22	3	197131	0
22	4	719677	0
22	3	1501908	0
22	8	2060	0
22	5	3187	0
22	9	1694	0
22	3	85472	0
22	9	1771	0
22	5	185206	0
22	3	1501908	0
22	9	10587	0
22	7	6752	0
22	10	167	0
22	10	179	0
22	5	185206	0
22	3	1501908	0
22	6	548	0
22	2	164072	0
22	3	1501908	0
22	5	1	0
22	2	963712	0
22	6	5388	0
22	3	197131	0
22	4	719677	0
22	3	1501908	0
22	8	2060	0
22	5	3187	0
22	9	1694	0
22	3	85472	0
22	9	1771	0
22	5	185206	0
22	3	1501908	0
22	9	10587	0
22	7	446	0
22	10	167	0
22	10	179	0
22	5	185206	0
22	3	1501908	0
22	6	548	0
22	2	164072	0
22	3	1501908	0
22	5	1	0
23	2	963712	0
23	6	5388	0
23	3	197131	0
23	4	719677	0
23	3	1501908	0
23	8	2060	0
23	5	3187	0
23	9	1694	0
23	3	85472	0
23	9	1771	0
23	4	719677	0
23	3	1501908	0
23	7	6752	0
23	3	288391	0
23	9	10587	0
23	10	167	0
23	10	179	0
23	5	185206	0
23	3	1501908	0
23	6	548	0
23	2	164072	0
23	3	1501908	0
23	5	1	0
23	2	963712	0
23	6	5388	0
23	3	197131	0
23	4	719677	0
23	3	1501908	0
23	8	2060	0
23	5	3187	0
23	9	1694	0
23	3	85472	0
23	9	1771	0
23	4	719677	0
23	3	1501908	0
23	7	446	0
23	3	288391	0
23	9	10587	0
23	10	167	0
23	10	179	0
23	5	185206	0
23	3	1501908	0
23	6	548	0
23	2	164072	0
23	3	1501908	0
23	5	1	0
23	2	963712	0
23	3	288391	0
23	4	56531	0
23	4	719677	0
23	3	1501908	0
23	7	2842	0
23	5	3187	0
23	9	701	0
23	3	85472	0
23	5	6300	0
23	5	185206	0
23	3	1501908	0
23	3	36913	0
23	10	70	0
23	9	3082	0
23	9	138	0
23	2	1156570	0
23	3	1501908	0
23	6	513	0
23	4	583	0
23	2	164072	0
23	3	1501908	0
23	7	1	0
23	2	963712	0
23	3	288391	0
23	4	56531	0
23	4	719677	0
23	3	1501908	0
23	7	2842	0
23	5	3187	0
23	9	701	0
23	3	85472	0
23	5	6300	0
23	5	185206	0
23	3	1501908	0
23	3	36913	0
23	10	264	0
23	9	3082	0
23	9	138	0
